singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"Franko's Magnificent Eichenweizzen","https://beerrecipes.org/Recipe/200/frankos-magnificent-eichenweizzen.html","Beer Style: Weizen/Weissbier (15A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.045
 Final Gravity: 1.012
 Alcohol by Vol: 4.32%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.6 stars based on 15 votes

No reviews","1 pound, light dry extract","1 3.3--kg can, Ireks wheat extract","1 ounce, Hallertauer (7.5% alpha)","1/4 ounce, Hallertauer (7.5 alpha) (finish)","1 teaspoon, Irish moss","1 ounce, Oak chips","Wyeast 3056 Bavarian Wheat","null","null","null","null","null","Boil 1--1/2 gallon water. Add Irek's wheat extract, 1 pound dry malt extract, and 1 ounce Hallertauer. Boil 40 minutes. Add 1/2 ounce finishing hops, 1 ounce oak chips, and 1 teasppon Irish moss. Let cool. Add water to bring volume to 5 gallons. Pitch yeast."
"Lord Stanley Dark Ale","https://beerrecipes.org/Recipe/471/lord-stanley-dark-ale.html","Beer Style: Brown Porter (12A)

Recipe Type: extract

Yield: 5 US gallons","null","3.3 stars based on 8 votes

No reviews","6 # light malt extract syrup","1+ # NW Gold dry malt extract","8 oz crystal (60 L.)","8 oz carapils","4 oz chocolate malt","2 oz roasted malt","1 oz perle pellets (boil)",".5 oz cascade pellets (boil)",".5 oz cascade (flavor)","1 oz williamette (Aroma)","2 tsp gypsum","Wyeast American Ale II","null"
"Shaolin Joy Juice","https://beerrecipes.org/Recipe/882/shaolin-joy-juice.html","Beer Style: Open Category Mead (26C)

Recipe Type: other

Yield: 3 US gallons","Source:
Anonymous","3.5 stars based on 15 votes

No reviews","Spice/herb extract as described below","10 lbs honey, generic (Sam's Club)","1 gal water, spring","flavorings:","null","null","null","null","null","null","null","null","Creating an extraction from the herbs took pretty much all of 2/3/96 (9am-1am); double-container water bath method, three rounds. 1 part each: tang kuei polygonum multiflorum lychii fruit schizandra berries asparagi rehmannia (processed) licorice root morindae atractylodis 2 parts each: ginseng, chinese astragalus ginseng, american jujube dates 1/2 part: eucommia bark trace/pinch: peony root gum frankincense gum myrrh Result: 3 quarts of fluid extract. 



So: I boiled 1 gal. water, added 1 gal honey, and all the flavorings, and brought the temperature up; I figured I'd let the scum rise & skim it off, but not actually boil it. Didn't occur to me that a lot of the flavorings would float.... 



I skimmed off the scum (and most of the raisins & mace & lime), and pulled out about half the ginger (the more I thought about it, the more I began to doubt using so much...). Eventually, the scum slowed down; I cut the heat off, added the herb extract, and set it in the sink to cool (that was the weekend it was 50 below in Minnesota, so no ice was necessary ;)). 



Because of the herbs, I kept the pot covered. In future batches, I'll just add the already-pasteurised extract to the pitching bucket & save myself the extra grief. 



When the must had cooled to 95F, I poured it into the bucket, along with a half-gallon of ice water, snapped on the lid, and shook it hard for a while. Pulling the lid off, I dipped a test sample, and pitched the starter. 



Original gravity is 1.1225 (!) 



After repeating the shaking, I poured off into a 3-gal carboy. O gawd, it's filling up too fast - do I have another jug? Found a half-gallon jug, did a quickie sterilisation on it (difficult to do w/ crossed fingers), and gave it the rest. (Turns out I have almost *exactly* 3 gallons, but hey....) 



Eighteen hours later, it's bubbling once every 10 seconds! 



03/04/96 - After a month, it had slowed to once in 40 seconds, so yesterday afternoon, I poured the half-gallon into the carboy, added 3 yeast energiser tablets, and 2 teaspoons of yeast hulls. As of 19:52 today, it's bubbling every 7 seconds."
"Honey Ginger Beer","https://beerrecipes.org/Recipe/506/honey-ginger-beer.html","Beer Style: Spice, Herb, or Vegetable Beer (21A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.051
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.6 stars based on 9 votes

No reviews","4 pounds, honey","6 ounces, grated ginger","3 pounds, light malt extract","1 ounce, Brewers Gold leaf hops","1/2 ounce, Northern Brewer hops pellets","1/2 ounce, Saaz hops pellets","yeast","null","null","null","null","null","Use two brew kettles. In the first, add 4 gallons water, honey, and ginger. Maintain at 180 degrees for 45 minutes. While first pot is heating, add malt extract to 3 gallons water in the second pot. Bring to boil. Add 1 ounce of Brewers Gold to boil for 45 minutes. Add 1/2 ounce of Northern Brewer at 30 minutes. When second pot is removed from heat, add 1/2 ounce of Saaz hops and steep. Combine pots, cool, and pitch. I also brewed a second batch with the same procedure, except that I used 8 pounds of honey instead of 4, 1/2 ounce of Northern Brewer hops replaced the 1 ounce of Brewers Gold, and 1/2 ounce of Galena replaced the 1/2 ounce of Northern Brewer."
"Maple Mead 2","https://beerrecipes.org/Recipe/839/maple-mead-2.html","Beer Style: Open Category Mead (26C)

Recipe Type: other

Yield: 5 US gallons","Original Gravity: 1.080
 Final Gravity: 1.005
 Alcohol by Vol: 9.82%
 Recipe Type: other
 Yield: 5.00 US Gallons","3.4 stars based on 8 votes

No reviews","6 lb Canadian Honey","32 oz container of Canadian Grade A Dark Amber Maple Syrup","1 tsp. gypsum","3/4 tsp. pectin","1 tsp. yeast nutrient","1 tsp. table salt","1 tsp. acid blend","1 pkg. M&F ale yeast in 2 cup wort - yeast starter","1 oz. Saaz cube hops (1/2 boil, 1/2 fin)","null","null","null","Added gypsum and salt to 1.5 gal filtered water, boiled, removed from heat, added honey and maple syrup, back to heat, hops added (10 min), pectin, yeast nut., acid blend added (25 min), yeast starter started, boiling well, skimmed off albumin (sp?), heat off and fin hops(45 min), chilled in ice bath (~30min), put in 6 gal carboy, pitched yeast and enough water to make 5.5 gal. Racked in 2 weeks. Bottled 10 weeks later w/ 1/3 cup corn sugar + 1/2 cup Florida Orange Blossom Honey."
"Fat Tire Clone - 10 gallon","https://beerrecipes.org/Recipe/3939/fat-tire-clone-10-gallon.html","Beer Style: Blonde Ale (6B)

Recipe Type: all-grain

Yield: 10 US gallons","null","3.5 stars based on 2 votes

2 reviews, Read the reviews","16 lbs - Pale Malt (2 Row) Bel (3.0 SRM) (Grain)","2 lbs - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain)","2 lbs - Munich Malt (9.0 SRM) (Grain)","2 lbs - Victory Malt (25.0 SRM) (Grain)","1.1 oz - Target [11.0%] - Boil 60 min (Hops)","1.1 oz - Willamette [5.5%] - Boil 10 min (Hops)","1.0 oz - Goldings, East Kent [5.0%] - Boil 0 min (Hops)","2 pkgs - California Ale V (White Labs #WLP051) (Yeast)","null","null","null","null","null"
"Thrilla from Vanilla","https://beerrecipes.org/Recipe/849/thrilla-from-vanilla.html","Beer Style: Metheglin (26A)

Recipe Type: other

Yield: 5 US gallons","null","3.6 stars based on 9 votes

No reviews","9 Lbs of mesquite honey","2 Tbsp gypsum","1 4 ounce bottle of Madagascar vanilla extract added after the must cooled","Canadian champagne yeast","null","null","null","null","null","null","null","null","null"
"The Evil Californian's Infamous Chili Mead","https://beerrecipes.org/Recipe/893/the-evil-californians-infamous-chili-mead.html","Beer Style: Metheglin (26A)

Recipe Type: other

Yield: 5 US gallons","Source:
Leigh Ann Hussey","3.3 stars based on 17 votes

No reviews","2 lb honey (I usually use ""Wild Mountain"" coz it's cheap)","8 oz Taos brand ""chili honey""","1 t crushed dried habanero","1/2 t tannin powder","1/4 t citric acid","1/2 t champagne yeast","1 t yeast nutrient","null","null","null","null","null","Boil the honeys together with 1 gal water for 5 minutes; add crushed dried chili right at the end. Pour into a gallon wine jug, add acid and tannin and let cool, then add yeast and nutrient. Set airlock on it and let ferment until clear. You may want to rack it off the lees at least once during the ferment. Bottle and age as desired."
"Rocket J. Squirrel Honey Wheat Ale","https://beerrecipes.org/Recipe/172/rocket-j-squirrel-honey-wheat-ale.html","Beer Style: Weizen/Weissbier (15A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.050
 Final Gravity: 1.005
 Alcohol by Vol: 5.89%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.3 stars based on 18 votes

No reviews","3 pounds, Bavarian dry wheat extract","2 pounds, Clover honey","1/2 pound, Buckwheat honey","1/2 pound, light Crystal malt (20 lovibond?)","1 ounce, Centennial hops 11.1% AAU's","24 ounces, Wyeast 1056 slurry (from previous batch)","null","null","null","null","null","null","Bring 1 and a half quarts water to 170 degrees and turn off heat. Add crystal malt and steep for 40 min. Tempurature was 155 degrees after adding malt and stirring. In another pot, start 3 gallons water boiling. When it comes to a boil, strain in liquid from crystal malt and also pour another quart of hot water through the grains. Add the wheat extract and honey. Bring to a boil. Skim the scum off and then add 3/4 ounce hops for 1 hour. Turn off heat and add the last 1/4 ounce hops. Whirlpool and let stand to let the trub collect. Siphon into carboy and top to 5 gallons. Add yeast and shake vigorously. Bottle with 4 oz. corn sugar."
"KGB Bitters","https://beerrecipes.org/Recipe/70/kgb-bitters.html","Beer Style: American Pale Ale (10A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Andy Wilcox","3.5 stars based on 10 votes

No reviews","1 can, Alexanders Sun Country pale malt extract","3.3 pounds, Northwestern Amber malt extract","1/2 pound, dark crystal malt","3 ounces, CFJ-90 Fresh hops","1/4 teaspoon, Irish moss","ale yeast","null","null","null","null","null","null","Start grains in brewpot with cool water. Remove when boil commences. Add malt extract and 1-1/2 ounce of hops. Boil 1 hour. Strain out boiling hops and add 1/2 ounce more hops and Irish moss. Boil 5 minutes. Remove from heat and add another 1/2 ounce of hops. Steep 10 minutes and cool. Strain wort into primary fermenter with cold water to make 5 gallons. Add final 1/2 ounce of hops."
"Dunkel Rauch Bier","https://beerrecipes.org/Recipe/1113/dunkel-rauch-bier.html","Beer Style: Other Smoked Beer (22B)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: approx 1.05
 Final Gravity: approx 1.015
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.3 stars based on 3 votes

No reviews","Ingredients:","6 lbs Dark Malt Extract, dry","2 lbs Rauch Malt, milled","1/2 lb English Brown Malt, milled","1/2 lb Special Roast Malt, milled","2 oz Willamette Hops, pellets","2 oz Vanguard Hops, pellets","1/2 oz Licorice Root","11 g Nottingham Ale Yeast","1/2 tsp Irish Moss","null","null","Place Rauch Malt, English Brown Malt, and Special Roast Malt in steeping grain bag, suspend grains in brew kettle with 3 gallons of purified water. Heat to 170F or at least 30 minutes which ever is longer. Remove steeping grains and turn off heat. Add Dark Malt Extract and stir in completely. Bring to a boil and add Willamette Hops in a grain bag. Boil for 50 minutes and add Vanguard Hops to bag. At the same time add Licorice root and Irish Moss. Continue to Boil for 10 minutes then insert wort chiller. Boil for 5 more minutes then remove from heat. Connect wort chiller to cold water faucet and cool wort as quickly as possible. 



Sanitize fermenting container for at least 10 minutes while wort is cooling. Empty all sanitizer out of fermenting container, but do not rinse. Add 2 gallons of cold, purified water to fermenting container and add cooled wort. Once wort has dropped below 70F take original gravity reading and pitch yeast. Be sure to follow directions for specific yeast being used as some may need to be hydrated first. Stir in yeast and close fermenting container with cap and air lock."
"Countryside Ginger","https://beerrecipes.org/Recipe/563/countryside-ginger.html","Beer Style: Spice, Herb, or Vegetable Beer (21A)

Recipe Type: extract

Yield: 5 US gallons","Source:
James Rigney","3.6 stars based on 8 votes

No reviews","2 - 3 pound bags, Muntons spray-dried plain light malt (Unhopped)","1 pound, crystal malt (40L) cracked","3 ounces, fresh ginger coarse-grated (boil)","1 ounce, Saaz hop pellets (boil)","1 tsp, Irish moss","1 ounce, fresh ginger coarse-grated (finishing)","1 ounce, Hallertauer hop pellets (finishing)","Coopers Brewery ale yeast, 1 pkg. (7 gms) dry","1 < cup, Light dried malt (to prime)","null","null","null","Put crystal malt into a hop bag, and fill large stew pot > full of cool water. Heat to about 1700 F. Remove the grains. Add dry malt, 3 ounces ginger and Saaz hops. Boil for one hour. 



At 45 minutes, (15 minutes before end) add Irish moss. 



At 50 minutes, (10 minutes before end) add Hallertauer hops and rest of ginger. 



Sparge to another large stew pot and back to original to remove grains and hops. 



Sparge to 5 gallon fermenter = full of cool water and pitch yeast."
"Dusseldorfer Altbier","https://beerrecipes.org/Recipe/738/dusseldorfer-altbier.html","Beer Style: Düsseldorf Altbier (7C)

Recipe Type: extract

Yield: 5 US gallons","Source:
Rex Saffer","3.4 stars based on 17 votes

No reviews","5 pounds, IREKS Munich Amber unhopped malt extract","3.3 pounds, M&F Amber unhopped malt extract","3/4 pound, Crystal malt 40 Lovibond","1/8 pound, Black patent malt","1/3 pound, Chocolate malt","1-1/4 ounce, Northern Brewer leaf hops; 10% alpha","3/4 ounce, Tettnager leaf hops; T, 4.5% alpha","1/2 teaspoon, Irish moss","Yeast Labs #A06 Dusseldorf Altbier liquid yeast","null","null","null","Crush grains, steep 20 min. in grain bag in 10 qt. 155 deg. F. H2O, drain & wring out. Add 1/2 oz. NB + 1/4 oz. T, bring to boil. Remove from heat, add malt extracts, bring to boil for 60 min. At 30 min. add 3/4 oz. NB + 1/2 oz. T, Irish moss. No aroma hops. Force chill to 70 deg. F, sparge, pitch 1 qt. yeast starter."
"Old Nuspickle Premium American Ale","https://beerrecipes.org/Recipe/1169/old-nuspickle-premium-american-ale.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.063
 Final Gravity: 1.018
 Alcohol by Vol: 5.89%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.3 stars based on 8 votes

No reviews","11 lbs. Rahr 2-row Pale Malt","1.5 lbs. Belgian Aromatic","1 lbs. Flaked Maize","0.5 lbs. Rice-hulls","1 oz. Styrian Goldings 3.6 aa (pellet) @ 60 min.","1 oz. Styrian Goldings 3.6 aa (pellet) @ 30 min.","1 oz. Styrian Goldings 3.6 aa (pellet) @ 10 min.","1 tablespoon, Irish Moss","1 Smack pack of Wyeast American Ale II","null","null","null","Heat mash water to 172* F and dough in. My grain was 50* F so my mash came out to be about 152* F. Mash at 152* F for 90 min.

Make sure you make a starter out of you smack pack at least a day before brew-time."
"Lima Bean Ale","https://beerrecipes.org/Recipe/612/lima-bean-ale.html","Beer Style: Spice, Herb, or Vegetable Beer (21A)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.042
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.6 stars based on 5 votes

No reviews","5# 6 row lager malt","3# lima beans, cooked and broken up with a potato masher","1# crystal malt","0.75 oz. Northern Brewer Hops (60 minutes)","0.5 oz. homegrown hops (mixture, 20 minutes)","0.5 oz. homegrown hops (mixture, finish)","Wyeast 1098","null","null","null","null","null","I did a step infusion mash and sparged to a volume of 6 gallons. I collected 4.5 gallons of 1.042 wort afterward and fermented with Wyeast 1098."
"Pete's Wicked Ale","https://beerrecipes.org/Recipe/247/petes-wicked-ale.html","Beer Style: American Brown Ale (10C)

Recipe Type: extract

Yield: 5 US gallons","Source:
Dale Strommer","3.5 stars based on 13 votes

No reviews","2 cans Unhopped light Extract","1 lb Crystal Malt","1 oz. bullion hop","1 oz. Cascade hops","1 oz. Fuggles","Ale Yeast","null","null","null","null","null","null","Put the 1 lb crystal malt in hop bag and put in gallon of cold water. Bring water up to a boil, then remove bag of crystal with strainer and throw away(you made a tea with the cystal). Remove from heat and add 2 cans of Unhopped light extract. Bring back to a boil and add 1 oz bullion simmer for 30 minutes. Then add 1 oz. cascade hop and simmer for another 15 minutes. Then add 1/2 oz Fuggles simmer for 15 minutes. At last minute add other 1/2 oz. of fuggles."
"DB's Porter","https://beerrecipes.org/Recipe/938/db-s-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: partial mash

Yield: 5 US gallons","Source:
Darin B.","3.3 stars based on 16 votes

No reviews",".25 lb American black patent",".25 lb American chocolate malt",".25 lb crystal malt 40L","3 lbs dry light extract (bulk)","3 lbs dry amber extract (bulk)","1 oz Perle (pellet) boiled 50 min.","1 oz Cascade (pellet) boiled 30min.","1 oz Chinook (pellet) steeped 10 min.","Wyeast 1028 (London Ale)","null","null","null","1. Add grains to grain bag and place in cold water - bring water temp to just before boiling - remove grains.

2. Bring to a boil, remove from heat and stir in extracts until dissolved - put back on heat

3. Bring to a good, controlled boil - set timer for 50 minutes

4. At 10 minutes into the boil, add 1 oz Perle hops (in bag)

5. At 30 minutes into the boil, add 1 oz Cascade hops (in bag)

6. At 50 minutes, remove from heat, and steep Chinook hops (in bag) for 10 min.

7. Cool to below 80 deg and pitch yeast.



Blow off occurred within 24 hours and lasted a couple of days. I ferment in only 1 carboy, so after 2 days, replaced blow off tube with airlock and fermented for a total of 12 days. I screwed up and did not take gravity samples, so have to wait for the second batch to do so."
"Weizen Schmeizen","https://beerrecipes.org/Recipe/196/weizen-schmeizen.html","Beer Style: Weizen/Weissbier (15A)

Recipe Type: extract

Yield: 10 US gallons","Original Gravity: 1.065
 Recipe Type: extract
 Yield: 10.00 US Gallons","3.4 stars based on 20 votes

No reviews","6.6 pounds, IREKS wheat malt extract","6.6 pounds, IREKS light malt extract","2 ounces, Hallertauer leaf hops (4.4% alpha) (60 minute boil)","1--1/2 ounce, Cascade hops (alpha 5.7%) (30 minute boil)","1/2 ounce, Hallertauer plug, (15 minute boil)","Wyeast #3056","null","null","null","null","null","null","Bring 3 gallons water to boil, remove from heat and add malt extract syrup (yes, all of it). Bring mixture to boil, add Hallertauer bittering hops. After 30 minutes add Cascade bittering hops, 15 minutes later add Hallertauer plug (I used hop bags for all 3 additions). 



Cool wort (about 3.5 gallons) to about 100F, siphon onto another 3--1/2 gallons of cold tap water, aerating vigorously. This produced 7 gallons of wort with a S.G.=1.065 (I get great extract efficiency from my extracts!). 



Rack to two carboys with about another 1--1/2 gallon water (total yield to 10 gallons). Pitch yeast at about 75."
"Very Ginger Beer","https://beerrecipes.org/Recipe/1240/very-ginger-beer.html","Beer Style: Spice, Herb, or Vegetable Beer (21A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.065
 Final Gravity: 1.010
 Alcohol by Vol: 7.2%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.4 stars based on 7 votes

No reviews","1500gram dry malt","2000gram brown sugar","5 Lbs fresh ginger","5 lemons luiced","22 ltr water","null","null","null","null","null","null","null","Grind the ginger and boil,when the boil begins slowly add the brown sugar and juiced lemons during a heavy stir. Boil for one hour using 22ltr of water. Add what water you need to fill your primary. Rack into the second after one week then keep in the secondary for one week.



I do not bottle, only keg. so bottling may require some dextrose."
"Alpine IPA","https://beerrecipes.org/Recipe/1111/alpine-ipa.html","Beer Style: American IPA (14B)

Recipe Type: extract

Yield: 5 US gallons","Source:
myown66","3.3 stars based on 10 votes

No reviews","3 # extra pale DME","3 # pale LME","2 # corn sugar","2 oz simcoe 10 min.","2 oz sterling 10min.","1 oz simcoe dry hop","1 oz sterling dry hop","I package safale t-58","null","null","null","null","boil water.

add LME and DME.

wait 50 min.

add 2oz simcoe. 

add 2oz sterlling.

wait 10 min.

cool, pitch, primary, rack (add 1oz simcoe and 1oz sterling), secondary, bottle, enjoy."
"Angry Pumpkin #2","https://beerrecipes.org/Recipe/1273/angry-pumpkin-2.html","Beer Style: Fruit Beer (20A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.072
 Final Gravity: 1.014
 Alcohol by Vol: 7.59%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.7 stars based on 3 votes

3 reviews, Read the reviews","6# Amber DME","2# Light Brown Sugar","1/4C Molasis","60oz. Canned Pumpkin","1.5tsp Pumpkin Pie Spice","1oz Cascade Whole Leaf (60 min)",".5oz Liberty Whole Leaf (10 min)","1.2tsp Irish Moss (10 min)","Wyeast 1332 Northeast Ale","null","null","null","Empty pumpkin onto baking sheet and smooth out, drizzle molasses on thop and bake pumpkin in 300 degree oven for 60 minuets. Biol 3 gal spring water and add brown sugar and Amber DME while bringing up to boil. At boil start add 1oz Cascade hops and also 1 tsp pumpkin pie spice. When 10 minuets remain add .5 Liberty hop and 1/2 tsp pumpkin pie spice. Upon flame out add to ice bath or cool rapidly. Add to primary and fill with water to 5 gal. Bottle with 3/4 corn sugar and let sit in cool place for 21-28 days. Open and enjoy your pumpkin pie."
"Singularity Stout","https://beerrecipes.org/Recipe/410/singularity-stout.html","Beer Style: Oatmeal Stout (13C)

Recipe Type: all-grain

Yield: 5 US gallons","Source:
Don Levey","3.4 stars based on 17 votes

No reviews","8 pounds Pale English 2-Row","1 Pound American 6-Row Crystal","1 Pound Dextrin","1.5 pounds Oatmeal","0.5 pounds American 6-Row Chocolate","0.5 pounds American 6-Row Black","0.25 pounds American 6-Row raosted barley","2 ounces fresh Northern Brewer's hops","0.5 ounces Clusters hop pellets","Wyeast 1098 British yeast","null","null","1-step infusion mash at 156 deg for 60 minutes. 60 minute boil: at 30 minutes add N. Brewer's, at 55 minutes add clusters."
"CDA 2.0","https://beerrecipes.org/Recipe/5776/cda-2-0.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 5 US gallons","null","3.5 stars based on 2 votes

2 reviews, Read the reviews","8 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","3 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain)","1 lbs - Carafa II (412.0 SRM) (Grain)","8.0 oz - Pilsner (2 Row) Ger (2.0 SRM) (Grain)","2.0 oz - Magnum [14.0%] - Boil 60 min (Hops)","1.0 oz - Cascade [5.5%] - Boil 45 min (Hops)","0.5 oz - Cascade [5.5%] - Boil 30 min (Hops)","1.00 - Whirlfloc Tablet (Boil 15 min) (Misc)","0.5 oz - Cascade [5.5%] - Boil 15 min (Hops)","2 pkgs - American Ale Yeast Blend (White Labs #WLP060) (Yeast)","1.00 tsp - Yeast Nutrient (Primary 3 days) (Misc)","null","null"
"Undrinkable Trappist Ale","https://beerrecipes.org/Recipe/750/undrinkable-trappist-ale.html","Beer Style: Belgian Golden Strong Ale (18D)

Recipe Type: extract

Yield: 5 US gallons","Source:
Jai Harpalani","3.5 stars based on 8 votes

No reviews","6.6 lbs M&F Old Ale Hopped Malt Extract","3.3 lbs M&F Light Malt Extract","1 lb Clover Honey","1 oz Hallertauer Hops (for finish)","1 oz Wyeast Belgian Abbey Ale Yeast","3/4 cup corn sugar","null","null","null","null","null","null","Boiled 2 gallons of water, extract, and honey for one hour. Finished with hops. Fermented in plastic at 70 degrees F for nine days. Bottled using corn sugar."
"Blind Squirrel Barleywine","https://beerrecipes.org/Recipe/431/blind-squirrel-barleywine.html","Beer Style: American Barleywine (19C)

Recipe Type: extract

Yield: 5 US gallons","Source:
Jack Dawson","3.5 stars based on 2 votes

No reviews","6 pounds Williams light austrailian syrup","5 pounds Williams light austrailian dry","1 pound 10-L crystal---steeped","1 pound 40-L crystal---steeped","3 ounces Chinook pellets aa%13 (60 min)","1/2 ounce CFJ-90 pellets aa%9 (5 min)","1/2 ounce CFJ-90 (dry hopped in secondary)","1 teaspoon gypsum at start of boil","1 teaspoon Irish moss (30 minutes)","Whitbread dry ale yeast","null","null","Primary fermentation - glass for 5 days at 65 degrees. Secondar in glass for 16 days at 65 degrees. Wort was boiled in 4 gal. pot (3 1/2 volume) with 2 gal. water added to primary fermenter."
"Samuel Adams Taste-Alike Beer","https://beerrecipes.org/Recipe/34/samuel-adams-taste-alike-beer.html","Beer Style: Standard American Lager (1B)

Recipe Type: extract

Yield: 5 US gallons","Source:
Anonymous","3.5 stars based on 2 votes

No reviews","1 can Munton & Fison Premium Kit","1 Packet yeast (under cap)","2 1 lb. packages Amber DME","1 1 oz package Hallertauer hop pellets","1 1 oz package Tettnang hop pellets","1 cup corn sugar (for priming)","null","null","null","null","null","null","Remove label from Kit and stand in warm water for 15-20 minutes. In a pot sufficient to boil 2 gallons of liquid, empty DME. Open can of malt and empty contents into pot onto DME. Using one gallon hot water, rinse out can and add to pot. Turn on heat and carefully bring to a boil. Ass package of 



Hallertauer hops, Adjust heat and simmer for 20 minutes. Add Tettnang hops and simmer for 10 minutes. Meanwhile, put 4 gallons cold water into primary fermenter. When boil is complete, empty hot wort into cold water. When temperature reaches 80 degrees Fahrenheit, open yeast and sprinkle onto surface of the wort and cover tightly. 



Place fermentation lock with water in lid. Allow beer to ferment for four days in primary fermenter, 



Transfer to clean secondary fermenter and allow to ferment for an additional ten to fourteen days. 



Syphon beer from secondary fermenter into clean bottling bucket. Dissolve priming sugar in a small amount of beer and add to bottling bucket. Fill clean bottles and cap. Let stand for five days at room temperature and then move to a cool place. 



Beer will be carbonated in three weeks and will improve for several months."
"Brewhaus Golden Lager","https://beerrecipes.org/Recipe/18/brewhaus-golden-lager.html","Beer Style: Standard American Lager (1B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.047
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.6 stars based on 7 votes

No reviews","8 pounds, 2-row Klages malt","1/2 pound, 2-row German Munich malt","1-1/2 ounces, Perle hop pellets (6.2% Alpha - boil)","1 ounce, Hallertau hop pellets (finish)","1 teaspoon, Irish Moss","1 teaspoon, gelatin finings","1 teaspoon, gypsum","Lactic Acid (to bring mash water to pH 5.2)","Wyeast #2308","2/3 cup, corn sugar (priming)","null","null","Mash grains at 152 degrees for two hours, or until conversion is complete. Sparge with 170 degree water to collect 6 gallons. Bring wort to a boil and let boil for 15 minutes before adding the boiling hops. Boil for one hour. Add Irish moss. Boil 30 minutes. (1 hour, 45 minutes total boiling time). Cut heat, add aromatic hops and let rest for 15 minutes. Force cool wort to yeast pitching temperature. Transfer cooled wort to primary fermenter, add water to bring to 5 gallons and pitch yeast starter. Fine with geletin when fermentation is complete. Bottle with corn sugar boiled in one cup water."
"Porter? Porter?","https://beerrecipes.org/Recipe/355/porter-porter.html","Beer Style: Brown Porter (12A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.048
 Final Gravity: 1.020
 Alcohol by Vol: 3.66%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.6 stars based on 20 votes

No reviews","6.6 pounds, Telford's porter (2 cans)","1 ounce, Styrian Goldings plugs (alpha 5.3) (1 hour boil)","1 ounce, Hallertauer plugs (alpha 2.9) (10 minute boil)","Wyeast #1056","null","null","null","null","null","null","null","null","Add the 2 cans of malt extract to 3 gallons boiling water, bring the mix back to a boil, then add Bittering Hops. I used a hop bag, so the utilization probably wasn't that teriffic, but then again the malts are pre-hopped some, so I wasn't too concerned about that. Add finishing hops with 10 min left in the boil. Add tap water to 5 gallons, cool to 75F and pitch yeast starter (~12oz). Lag time is about 12 hours."
